MagicCards.info	Trader	MWS	Gatherer	Expansion	Core	Block	Date
uhaa	?	?	?	Unhinged Alternate Foils	No	?	?
mgbc	?	?	?	Multiverse Gift Box Cards	No	?	?
8eb	?	?	?	Eighth Edition Box Set	No	?	?
9eb	?	?	?	Ninth Edition Box Set	No	?	?
cmd	?	?	?	Commander	No	?	6/17/2011
?	DCI	?	?	Friday Night Magic	No	?	?
?	BK	?	?	Media Inserts	No	?	?
?	PRE	?	?	Promo set for Gatherer	No	?	?
?	TK	?	?	Token	No	?	?
?	?	?	?	Vanguard	No	?	?
?	?	FBP	?	Full Box Promotion	No	?	?
?	?	MPS	?	Magic Premiere Shop	No	?	?
thgt	?	THG	?	Two-Headed Giant Promos	No	?	?
sum	?	SUM	?	Summer of Magic Promos	No	?	4/1/1994
hho	?	HHL	?	Happy Holidays Promos	No	?	?
arena	?	ARE	?	Arena League Promos	No	?	?
?	?	WLD	?	World Championship Cards	No	?	?
pro	?	PTR	?	Pro Tour Promos	No	?	?
gpx	?	GPX	?	Grand Prix Promos	No	?	?
fnmp	?	FNM	?	Friday Night Magic Promos	No	?	?
?	?	LND	?	Alternate Art Lands	No	?	?
mgdc	?	MGD	?	Magic Game Day	No	?	?
jr	?	JGC	?	Judge Gift Cards	No	?	?
cp	?	CHP	?	Champs Promos	No	?	?
grc	?	GTW	?	Gateway & WPN Promos	No	?	?
ptc	?	PRE	?	Prerelease Promos	No	?	?
?	?	REL	?	Release & Launch Parties	No	?	?
mprp	?	MPR	?	Magic Player Rewards	No	?	?
?	?	CVP	?	Convention Promos	No	?	?
jsr	?	JUN	?	Junior Series Promos	No	?	?
?	?	GAM	?	Video Game Promos	No	?	?
?	?	STO	?	Stores Promos	No	?	?
?	?	MIN	?	Magazine Inserts	No	?	?
?	?	CIN	?	Comic Inserts	No	?	?
?	?	BIN	?	Book Inserts	No	?	?
?	?	GAR	?	Richard Garfield Events	No	?	?
dcilm	?	DLM	?	DCI Legend Membership	No	?	?
?	?	PR	?	Other Promos	No	?	?
m12	?	?	M12	Magic 2012	Yes	?	7/15/2011
nph	NPH	NPH	NPH	New Phyrexia	No	Scars of Mirrodin	5/13/2011
mbs	MBS	MBS	MBS 	Mirrodin Besieged	No	Scars of Mirrodin	2/4/2011
me4	?	?	ME4	Masters Edition IV	No	?	1/10/2011
pd2	?	PD2	PD2	Premium Deck Series: Fire and Lightning	No	?	11/19/2010
som	?	SOM	SOM 	Scars of Mirrodin	No	Scars of Mirrodin	10/1/2010
ddg	?	?	?	Duel Decks: Knights vs. Dragons	No	?	4/1/2011
ddf	?	DDF	DDF 	Duel Decks: Elspeth vs. Tezzeret	No	?	9/3/2010
fvr	?	V10	FVR	From the Vault: Relics	No	?	8/27/2010
m11	M11	M11	M11 	Magic 2011	Yes	?	7/16/2010
arc	AR	ARC	ARC	Archenemy	No	?	6/18/2010
dpa	?	DPA	?	Duels of the Planeswalker	No	?	6/4/2010
roe	ROE	ROE	ROE 	Rise of the Eldrazi	No	Zendikar	4/23/2010
pvc	?	DDE	DDE 	Duel Decks: Phyrexia vs. the Coalition	No	?	3/19/2010
wwk	WWK	WWK	WWK 	Worldwake	No	Zendikar	2/5/2010
pds	?	H09	H09	Premium Deck Series: Slivers	No	?	11/20/2009
gvl	?	DDD	DDD 	Duel Decks: Garruk vs. Liliana	No	?	10/30/2009
zen	ZEN	ZEN	ZEN 	Zendikar	No	Zendikar	10/2/2009
me3	?	?	ME3	Masters Edition III	No	?	9/7/2009
pch	?	HOP	HOP	Planechase	No	?	9/4/2009
fve	?	V09	FVE	From the Vault: Exiled	No	?	8/28/2009
m10	M10	M10	M10 	Magic 2010	Yes	?	7/17/2009
arb	ARB	ARB	ARB 	Alara Reborn	No	Shards of Alara	4/30/2009
dvd	?	DDC	DDC 	Duel Decks: Divine vs. Demonic	No	?	4/10/2009
cfx	CFX	CFX	CON 	Conflux	No	Shards of Alara	2/6/2009
jvc	?	DD2	DD2 	Duel Decks: Jace vs. Chandra	No	?	11/7/2008
ala	ALA	ALA	ALA 	Shards of Alara	No	Shards of Alara	10/3/2008
me2	?	?	ME2	Masters Edition II	No	?	9/22/2008
fvd	?	DRB	FVD	From the Vault: Dragons	No	?	8/29/2008
eve	EVE	EVE	EVE 	Eventide	No	Shadowmoor	7/25/2008
shm	SHM	SHM	SHM 	Shadowmoor	No	Shadowmoor	5/2/2008
mt	MOR	MOR	MOR 	Morningtide	No	Lorwyn	2/1/2008
evg	?	EVG	EVG	Duel Decks: Elves vs. Goblins	No	?	11/16/2007
lw	LRW	LRW	LRW 	Lorwyn	No	Lorwyn	10/12/2007
med	MED	?	MED	Masters Edition	No	?	9/10/2007
10e	10TH	10E	10E 	Tenth Edition	Yes	?	7/14/2007
fut	FUT	FUT	FUT 	Future Sight	No	Time Spiral	5/4/2007
pc	PLC	PLC	PLC	Planar Chaos	No	Time Spiral	2/2/2007
ts	TSP	TSP	TSP	Time Spiral	No	Time Spiral	10/6/2006
tsts	TSB	TSB	TSB	"Time Spiral ""Timeshifted"""	No	?	10/6/2006
cs	CSP	CS	CSP 	Coldsnap	No	Ice Age	7/21/2006
cstd	?	CST	?	Coldsnap Theme Decks	No	?	7/9/2006
di	DIS	DIS	DIS 	Dissension	No	Ravnica	5/5/2006
gp	GPT	GP	GPT 	Guildpact	No	Ravnica	2/3/2006
rav	RAV	RAV	RAV 	Ravnica: City of Guilds	No	Ravnica	10/7/2005
?	?	MAE	?	Magic Encyclopedia	No	?	8/22/2005
9e	9TH	9E	9ED 	Ninth Edition	Yes	?	7/29/2005
sok	SOK	SOK	SOK 	Saviors of Kamigawa	No	Kamigawa	6/3/2005
bok	BOK	BOK	BOK 	Betrayers of Kamigawa	No	Kamigawa	2/4/2005
uh	UNH	UNH	UNH	Unhinged	No	?	11/19/2004
chk	CHK	CHK	CHK 	Champions of Kamigawa	No	Kamigawa	10/1/2004
5dn	5DN	FD	5DN 	Fifth Dawn	No	Mirrodin	6/4/2004
ds	DST	DS	DST 	Darksteel	No	Mirrodin	2/6/2004
mi	MRD	MR	MRD 	Mirrodin	No	Mirrodin	10/3/2003
8e	8TH	8E	8ED 	Eighth Edition	Yes	?	7/28/2003
sc	SCG	SC	SCG 	Scourge	No	Onslaught	5/26/2003
le	LGN	LE	LGN 	Legions	No	Onslaught	1/25/2003
on	ONS	ON	ONS 	Onslaught	No	Onslaught	10/7/2002
ju	JUD	JU	JUD 	Judgment	No	Odyssey	5/27/2002
tr	TOR	TO	TOR 	Torment	No	Odyssey	2/4/2002
dm	DM	DM	DKM	Deckmasters	No	?	12/1/2001
od	OD	OD	ODY 	Odyssey	No	Odyssey	9/22/2001
