Magic Trader Acronym	Gatherer
?	Battle Royale Box Set
?	Duel Decks: Divine vs. Demonic
?	Duel Decks: Elspeth vs. Tezzeret
?	Duel Decks: Elves vs. Goblins
?	Duel Decks: Garruk vs. Liliana
?	Duel Decks: Jace vs. Chandra
?	Duel Decks: Phyrexia vs. the Coalition
?	From the Vault: Dragons
?	From the Vault: Exiled
?	From the Vault: Relics
?	Masters Edition II
?	Masters Edition III
?	Planechase
?	Premium Deck Series: Slivers
?	Scars of Mirrodin
?	Vanguard
10TH	Tenth Edition
4TH	Fourth Edition
5DN	Fifth Dawn
5TH	Fifth Edition
6TH	Classic Sixth Edition
7TH	Seventh Edition
8TH	Eighth Edition
9TH	Ninth Edition
A	Limited Edition Alpha
AI	Alliances
ALA	Shards of Alara
AN	Arabian Nights
AP	Apocalypse
AQ	Antiquities
AR	Archenemy
ARB	Alara Reborn
B	Limited Edition Beta
BD	Beatdown Box Set
BK	Media Inserts
BOK	Betrayers of Kamigawa
CFX	Conflux
CH	Chronicles
CHK	Champions of Kamigawa
CSP	Coldsnap
DCI	Friday Night Magic
DIS	Dissension
DK	The Dark
DM	Deckmasters
DST	Darksteel
EVE	Eventide
EX	Exodus
FE	Fallen Empires
FUT	Future Sight
GPT	Guildpact
HL	Homelands
IA	Ice Age
IN	Invasion
JUD	Judgment
LE	Legends
LGN	Legions
LRW	Lorwyn
M10	Magic 2010
M11	Magic 2011
MED	Masters Edition
MI	Mirage
MM	Mercadian Masques
MOR	Morningtide
MRD	Mirrodin
NE	Nemesis
OD	Odyssey
ONS	Onslaught
P2	Portal Second Age
P3	Portal Three Kingdoms
PLC	Planar Chaos
PR	Prophecy
PRE	Promo set for Gatherer
PS	Planeshift
PT	Portal
RAV	Ravnica: City of Guilds
ROE	Rise of the Eldrazi
RV	Revised Edition
SCG	Scourge
SHM	Shadowmoor
SOK	Saviors of Kamigawa
ST	Stronghold
ST1	Starter 1999
ST2	Starter 2000
TE	Tempest
TK	Token
TOR	Torment
TSB	"Time Spiral ""Timeshifted"""
TSP	Time Spiral
U	Unlimited Edition
UD	Urza's Destiny
UG	Unglued
UL	Urza's Legacy
UNH	Unhinged
UZ	Urza's Saga
VI	Visions
WL	Weatherlight
WWK	Worldwake
ZEN	Zendikar
